,m3340,m1150,m2236,m839,m851,m1901,m3485,m407,m2117,m3827,m3365,m364,m263,m1804,m2642,m2058,m185,m1426,m2875,m3267,m1570,m3418,m3157,m1270,m1070,m2876,m1394,m973,m1704,m2475,m3681,m1265,m96,m113,m3420,m2679,m1017,m3626,m33,m1916,m3410,m368,m3082,m2811,m3156,m565,m2541,m3689,m15,m3462,m3277,m1726,m3296,m457,m1058,m2581,m3138,m2418,m2602,m776,m2824,m1152,m2118,m1543,m807,m2871,m1225,m3187,m1831,m2211,m18,m3746,m2771,m1369,m2555,m2903,m3929,m3851,m3389,m1332,m2408,m3818,m2019,m202,m2605,m2848,m1731,m1905,m1460,m2740,m1839,m416,m2013,m1203,m1487,m1605,m2395,m2103,m1453,m1090
m3365,0.4581137990033738,0.5497088990025097,0.5442638572088033,0.198610649278521,0.5673644256764587,,,0.4178335016621856,0.6400711312750846,0.4555863500010637,,0.6308544258326356,0.6683859858084795,0.4369200558141859,0.2033217955899923,0.4080510725470548,0.2825442633176275,,0.479366778404293,0.4302055334778655,0.6659778181555601,0.6199281242901264,0.4854578089026108,0.5927714196463181,,0.6271848460931873,0.576100636966939,0.7268629154153564,0.667450758599717,0.3990184008786266,0.634251002974691,0.621666849458431,0.7430197243661711,0.2683200403058431,0.4864490765027265,,0.5516401505232384,0.3727708209630271,,0.3846975921165888,,0.5317062673157807,0.4153935656765986,,0.4038063683129145,0.3853084824969969,0.2715519639529827,0.213098506300857,0.2616029301606861,0.6579446193610226,,0.1730184034715859,0.5738638879389493,0.6481766090615118,,0.3071295441525191,0.3432553177787635,0.301747698403033,,,,0.3959650863487005,0.6266782783189506,,,0.6975533500428271,0.6841557848786695,,0.2399322883501334,0.9521101363982238,0.4467571610232143,0.2613320856714549,0.2462705734037844,,0.0409384672462906,0.2633646235763411,0.7439928136389653,0.8675734261042942,0.1250263881125822,0.2841118887826336,0.239486724381117,,0.7384997856353854,0.3336685718847685,0.4140972307194555,0.7491506666311336,0.047167983063135,,0.5433827947567913,0.4471806821808362,0.0093125627464254,0.202183370731088,0.4450036248753808,0.6463509090129964,0.2739230925331911,0.398705564553109,0.5661029981925803,0.3796858681596332,0.2136559014957425,0.6751095831325316
m364,0.2427211490275441,0.3866695540258693,0.5825254649215412,0.2763978186012549,0.3648662005187382,,,0.3836674513741686,0.5736058746215861,0.4543607317786503,0.6308544258326356,,0.226272228627387,0.3153384469485722,0.3223652430986823,0.5699281685587101,0.418382767462337,0.3623058706417907,0.4814402995207372,0.4832383807953109,0.6000894240911109,0.585130165731713,0.4688245384165527,0.6379948550174581,,0.3835377154284484,0.5215613552640991,0.5464132939430454,0.6235715152672726,0.4520486385403141,0.5113160248601069,0.5408886975862492,0.5035265158624149,0.4714716763711493,0.4938552877497205,,0.5613992057135178,0.515592404030076,,0.4492396082921245,,0.5882889018061718,0.4470058687308612,,0.4206031924598432,0.4421534829855489,0.4791691179271232,0.3546255673390612,0.2939843032730906,0.5106227824742392,,0.3916383582929145,0.5501356593278921,0.6589627032195643,0.2478853801662657,0.456073328116328,0.5109477155154432,0.3825364155944415,0.5062452723509917,,0.1923489583608697,0.4794779189537136,0.5371415057002079,0.2672422793747695,0.2538023987648828,0.5673579088567551,0.5827743661528035,,0.3713989771759225,0.5263795715255951,0.4739419347755906,0.5373107840457141,0.3678481095792886,,0.2348110807106685,0.2371167090073859,0.4645795599331962,0.4965481930416507,0.2082014305256732,0.3716433088018954,0.3778923673454061,,0.5317352262233913,0.454818817198888,0.4336766360950393,0.5409141810076185,0.3630131623720505,,0.3481090166825188,0.1561153262405012,0.3149797867802547,0.4013324692358098,0.5407211013467299,0.60317638407762,0.545437136619078,0.3189538545224409,0.4798933819924504,0.2376003404044618,0.2853296916537986,0.6172195531653656
m263,,0.399817648031936,0.116281740388088,,0.5734773339978972,,,,0.7104069987294384,0.1031202869950648,0.6683859858084795,0.226272228627387,,,0.9454985237794178,0.570455256488889,0.2060362922880568,,0.9115484865015124,0.8830902592893507,,0.6003011159240941,0.6974848054051339,0.2962765705857952,,,0.4690421752058936,,0.7440333520437306,,0.5275473854008962,0.5477569118287592,,,0.4130162891506607,,0.660220667826494,,,0.7739608975518791,,0.7707424278618217,0.1436663253356945,,,,0.3153469835178637,,,0.8994598035502883,,,0.6621392673294726,0.3121483132905454,,,,,,,,,0.7158702952580499,,,0.3925209300957242,0.5971247898412059,,,,,0.1625892741970864,,,,,0.4955195961025687,,,,0.4528396921723123,,0.5405410967596599,,0.20329957529953,,,,,,,,0.4496037693329414,0.3831164640222886,,0.681443926793564,0.6784682282850136,,,0.316657228616327
m1804,,0.3770712569634281,0.2934428162287971,0.709978943623719,0.5637237225413142,,,0.531095686154092,0.4784049461504505,0.6732618819551025,0.4369200558141859,0.3153384469485722,,,0.6517513837259837,0.5763015681773609,0.5982999135997196,,0.5008368381283824,0.5598275018701743,0.6466622664251698,0.4728759624560832,0.3659906524546225,0.3513568330551495,,0.656754123785907,0.40508064652539,0.1267025439547965,0.4351145617408051,0.5692867303619804,0.476767957012578,0.4121745010331841,,0.5431416503649011,0.4758143203973989,,0.3476043586436156,,,0.480504496589585,,0.5846511701573077,0.4246628205804398,,0.6193888659248523,0.8070431180987618,0.44102263557048,0.8200102492070029,0.7697426137665944,0.4137738778518841,,0.4891409062312146,0.6003269882371223,0.3804896695910039,,0.5279564814763067,0.5653487139015387,0.6098912057883215,,,,0.462078583452709,0.3299996208839905,,,0.3218717548777132,0.3520495237787608,,0.6223615452420297,,0.7603752696291622,,0.8217287252207965,,0.8483241032852087,0.5313829074750034,0.1806055052612373,0.5323748943316894,0.5802631386786188,0.8673065468017946,0.7281687111370148,,0.2347463111095757,0.717761473779129,0.6711966953628328,0.1651020793069802,0.7773956130245108,,0.7137496734072577,,0.4814293158643831,0.7826883666647501,0.3965875219762715,0.2382321277713818,0.6164470032539944,0.7797139463661269,0.3498059993150166,0.5823308021925726,0.7269854764485209,0.326924627334071
m2642,0.6547330392691069,0.2735140086100573,0.4814207630100177,0.8568421238725861,0.4593752389960812,,,0.7203937887833124,0.3984146917841736,0.5719227453702261,0.2033217955899923,0.3223652430986823,0.9454985237794178,0.6517513837259837,,0.416587059014625,0.7989966249607051,0.7016677125651142,0.6450971268663308,0.2970308595331089,0.5368855047106971,0.4257443039454409,0.5983593665455773,0.2484205272948785,,0.7850282124127417,0.2432380471620375,0.2367537148147648,0.2610899988281523,0.5638409049394357,0.1865008307005902,0.2485924025214808,0.1322223721529039,0.6093966592104669,0.3446215633553831,,0.4306665585566304,0.7696546455239395,,0.4582194847414315,,0.4457389307672911,0.6119423927262645,,0.7372444779738948,0.6497910604305006,0.6293171351988615,0.8670416922872431,0.8396278248373888,0.2177978106916265,,0.8047617656827237,0.3255600293634209,0.2197601537655777,,0.552419902018825,0.5923265900862115,0.6850059367337865,,,,0.20916418555734,0.3976398385648469,,0.0056102626219456,0.2602601402712738,0.1796436645344947,,0.796591953255916,0.4042883976202134,0.664072570777067,0.2114771954190606,0.781551445818374,,0.8217363792323562,0.8582289699842072,0.3175446016898992,0.4240016152994651,0.8412712607140748,0.733318565779179,0.8524113093398891,,0.1352792788457495,0.7760704019720588,0.7168026272100334,0.1752843829739409,0.8369639142806227,,0.6102004277048921,0.9505965878606076,0.8540008083556194,0.8424472173207409,0.5286995432637986,0.1619697007234591,0.7056396823081632,0.7431180847211716,0.3248870200554807,0.7783578315499513,0.7922378669028163,0.1969766817685261
m2058,0.4530605556888151,0.4065722733158514,0.6351669862817757,0.2890922529815074,0.6443722261695869,,,0.5543564906325007,0.599673021444399,0.5655642864761913,0.4080510725470548,0.5699281685587101,0.570455256488889,0.5763015681773609,0.416587059014625,,0.4390495202646792,0.1768797065855185,0.5506325891044711,0.4735953344432614,0.5488743504955218,0.4827764524851065,0.4683399104081416,0.5348416596106382,,0.5508602106029771,0.5110739832652188,0.3711258223377585,0.5565353915887434,0.4719417273567439,0.543991100913866,0.4929851386482117,0.6185225251050538,0.6218628045570032,0.5744076497013402,,0.404724640723248,0.487872265623027,,0.4540732954487434,,0.5925988329042507,0.5361272754737539,,0.4910345476208326,0.6093448975309951,0.5256224317596191,0.4227441855100328,0.4086223487388281,0.4004023078527345,,0.416327331503403,0.5600701101583182,0.5652203209195275,0.0207546145342607,0.5412749879083261,0.7246353082011222,0.3786598922413399,,,0.2136680507367296,0.5678252672297246,0.4834819565307089,,0.2404424811108603,0.4848040343664787,0.442266012259389,,0.4269649877085164,0.3036204983822891,0.6191257738226852,0.3743032514978678,0.5860452962880813,,0.4292977427933275,0.3392198279536689,0.376127224884253,0.6030619410108228,0.2431214522519837,0.3532244984128393,0.4400959594526339,0.2604959162643012,0.4726363332934103,0.6219862049979447,0.5720565536307267,0.5026151754762685,0.2447748139608326,,0.2662480842417227,0.3878415970657337,0.375170356739276,0.3707458785480517,0.4811402673444765,0.5155510837823486,0.4636964872253013,0.5568618445288043,0.4166588361099688,0.2084955326419874,0.2755184850374964,0.4902277426878551
m185,0.6220635299754705,0.4018880306079777,0.4020356611321603,0.8256723851694172,0.5338725718183008,0.0195624849835035,,0.6088818735556837,0.4076098386769589,0.5449822297478736,0.2825442633176275,0.418382767462337,0.2060362922880568,0.5982999135997196,0.7989966249607051,0.4390495202646792,,0.6589743642185759,0.6582782253995938,0.4079660082012171,0.2933391799594802,0.468026339210601,0.7195584614795333,0.329077015081629,,0.6646205618210126,0.2820881239310749,0.3421519621400176,0.292821007804026,0.5249502453448249,0.2440584400537573,0.350895991540987,0.054873938361631,0.8039636010767142,0.4491854821758909,,0.4390558416455967,0.763420560144917,,0.3733886875821877,0.1044381215110497,0.5075863891124308,0.5622426935034704,,0.7024017234637342,0.6773051876040181,0.6849762774163333,0.7268625280119128,0.7445881009212816,0.2485472441816679,,0.7049578944040016,0.4552864714637626,0.3651105246573649,,0.6478210561763793,0.6572861795354351,0.7017660300619819,,,0.158672108330577,0.0761082444519923,0.3807723323985433,0.5960510186468009,0.4985190485140774,0.2970874353820089,0.2922826756083458,,0.7607241624295299,0.5882955220095852,0.4758543432514815,0.2596364268869731,0.6908321848509257,0.0528868530656929,0.759903301995607,0.7237361056945812,0.2942050201396599,0.4996825658685122,0.7099037161135633,0.6602036485324653,0.7238748612843424,,0.1991335898664935,0.8052364784980295,0.7579120853434932,0.0886013248979659,0.5319799589397294,,0.6315376037569661,0.4100276347482061,0.8946605456816767,0.7787545579572135,0.565355846865329,0.2780673372072286,0.7297496112712366,0.5582393423398532,0.3053183468151689,0.4755545195109701,0.6820537922819863,0.2518119438041914
m1426,,,0.7909919409873327,,,,,,,0.5157489670068373,,0.3623058706417907,,,0.7016677125651142,0.1768797065855185,0.6589743642185759,,0.5569461010416892,,,0.4422336447582934,0.4587512077940776,0.4225359011431346,,,0.172605654485732,,0.1992067127684792,,,0.4708429569510982,,,,,0.5800067324086281,,,,,0.4041419172651834,0.5102201757346482,,0.6805167937770635,,0.5548105018106744,,0.8224107738221813,0.026023511183241,,,0.9076048994071364,0.259907222145848,,0.268149114016298,,,,,,,0.5559960614733209,,,0.3948849741599489,0.482486731499234,,0.6014394758280626,,0.8596442788801911,,0.1638722356569079,,0.1245610294907178,,,,,,0.9249126471596812,,,,0.5924297387354822,,0.4415053975607207,,0.7653776600559319,,,,0.537299832264819,0.3630549902816884,0.5355678522279875,0.9470370498786144,0.3926870285357701,0.5299596804875645,0.6599182916464128,0.3526511673780873
m2875,0.0986441931237938,0.3428883710009902,0.4832554416184873,0.698622749284003,0.3901296375943056,,,0.7004400372778443,0.5408669915123665,0.4654657354554207,0.479366778404293,0.4814402995207372,0.9115484865015124,0.5008368381283824,0.6450971268663308,0.5506325891044711,0.6582782253995938,0.5569461010416892,,0.3656682380727355,0.0837510891469714,0.4185262229442567,0.6122262275579258,0.4434469233223849,,0.3552390305047372,0.3735126858519941,0.5051409831346866,0.4319844524385475,0.4490215818950138,0.400491657027157,0.3911235983030527,0.895174468192389,0.4970688006604438,0.3882627971847542,,0.4271306638839394,0.4490039508440003,,0.3615455696259488,,0.5558840992655296,0.5148947975923381,,0.6094117711033145,0.3187237293368241,0.6586820025423609,0.5631543162933316,0.652765262297845,0.358839014862857,,0.7390056982365045,0.5049472246278927,0.4469974368677483,,0.6004271532779051,0.5927276490507227,0.5351169114409383,,,,0.1726823053352396,0.4774746310643181,0.5566018866057593,,0.3505944866937792,0.3997826679073054,,0.6162089791845523,0.4868408178514156,0.3807885986699484,0.4261654582009904,0.7019942750807263,0.1933935251704153,0.5203215119365397,0.4764887076452008,0.5127962360492887,0.6535794186127941,0.421652578464939,0.4580694142885889,0.6536236562024109,,0.3087590549110244,0.3813653234478708,0.6054119575320641,0.3716468148575085,0.449858400034035,,0.6959577247570161,,0.5861943053118353,0.6040035706414318,0.4469472980190843,0.3588127335092953,0.7872663304476877,0.5307617519422357,0.4216917779567313,0.6861741628726703,0.6071008242447338,0.380453462172361
m3267,0.4433588933754183,0.4154074523823426,0.3943371038399448,0.3917956838655783,0.4343273966981381,,,0.4316295962615052,0.5983580200250462,0.5003124746181365,0.4302055334778655,0.4832383807953109,0.8830902592893507,0.5598275018701743,0.2970308595331089,0.4735953344432614,0.4079660082012171,,0.3656682380727355,,0.7753157286808359,0.5656466857307408,0.4758147180378941,0.5232782393219081,,0.1090635438653713,0.6096089404126755,0.4148022240361995,0.5825141133687541,0.4497615259413558,0.6912710855763009,0.5695364072720609,,0.367178187716676,0.617724564093956,,0.5812972205128781,0.1572300497266175,,0.5294869754423744,,0.4959558500613071,0.4560045192411975,,0.4420373783214925,0.4689793038783567,0.4664541569364712,0.2616167362633778,0.3309202227157147,0.5895263343374146,,0.43619939823153,0.6392092060740655,0.5271857721023415,0.2242032331642776,0.4300057468718427,0.3061361071254461,0.5217384923762417,0.7462774362811464,0.6272504475970924,0.3739393602411734,0.6092789071956065,0.6011351760065637,,,0.5176511975103,0.5594053963282668,,0.3938445372427231,0.6614538772549744,0.5212134943978328,0.4916647114409738,0.4897803293332886,,0.1994164736290754,0.1911443261471082,0.6483665857175,0.5778453809295416,0.1702773110416872,0.4464906672995184,0.3396596165472989,,0.6123578664867028,0.247571404079495,0.4265387922170395,0.5529943537843724,0.1654906165705392,,0.2922091254013106,0.1515593757985159,0.3493175432484874,0.2144412830736959,0.5427862009033004,0.5552306322201119,0.3993474973883557,0.241614743754091,0.5408433257390242,0.5413289278603768,0.2773861677838985,0.5433922723078805
m1570,0.6643780216785298,,,0.4564853122494051,0.6438162521426234,,,0.564664291979955,0.6677682935335922,0.378217089816785,0.6659778181555601,0.6000894240911109,,0.6466622664251698,0.5368855047106971,0.5488743504955218,0.2933391799594802,,0.0837510891469714,0.7753157286808359,,0.2238118562782943,0.4603472294756547,0.402231216886041,,,0.7565953039163446,,0.4119691950136177,,0.7517005961944091,0.5962673035591051,,,,,,,,0.9469867109254566,,0.4137403112965995,0.5379052705034928,,0.3632764250429652,,0.1857480591677258,,,,,,,0.5355748190782674,,0.4042354510574721,,,,,,,0.8509370523164623,,,0.8075236458605579,0.73226619773081,,0.5213126819815328,,0.5762867107082166,,,,,0.0171539751214029,,,,0.1491625793897339,0.5137300266226066,,0.6371619723804738,,0.6859300165532233,,,,,,,,0.8510321641261188,0.3314971770191179,,,0.7266897972943374,,,0.5062822571534301
